session_or_task_id,source_path,model_id,start_timestamp,end_timestamp,month,task_or_role,evidence_field
prune-stale-worktrees,agents/agent-129,glm,2026-09-16T15:30:34,,2026-09,prune-stale-worktrees,metadata.json:model + pi-session usage
smoke-pin-completion,agents/agent-130,glm,2026-09-16T15:31:31,,2026-09,smoke-pin-completion,metadata.json:model + pi-session usage
fix-quality-pass-scoped-batch-mutation,agents/agent-22,gpt-5.6-sol,2026-08-08T17:13:34,,2026-08,fix-quality-pass-scoped-batch-mutation,metadata.json:model + pi-session usage
restore-trust-first-local-worker-control,agents/agent-23,gpt-5.6-sol,2026-08-08T17:35:58,,2026-08,restore-trust-first-local-worker-control,metadata.json:model + pi-session usage
fix-build-admission-default-ui,agents/agent-24,gpt-5.6-sol,2026-08-08T18:21:34,,2026-08,fix-build-admission-default-ui,metadata.json:model + pi-session usage
audit-sync-roadmap,agents/agent-25,gpt-5.6-sol,2026-08-08T20:52:54,,2026-08,audit-sync-roadmap,metadata.json:model + pi-session usage
audit-draft-synthesis,agents/agent-26,gpt-5.6-sol,2026-08-09T05:29:49,,2026-08,audit-draft-synthesis,metadata.json:model + pi-session usage
fix-service-start-readiness,agents/agent-63,gpt-5.6-sol,2026-09-04T00:01:57,,2026-09,fix-service-start-readiness,metadata.json:model + pi-session usage
implement-adaptive-agency-ledger,agents/agent-64,gpt-5.6-sol,2026-09-04T00:07:04,,2026-09,implement-adaptive-agency-ledger,metadata.json:model + pi-session usage
project-local-pi-cli,agents/agent-65,gpt-5.6-sol,2026-09-04T00:12:10,,2026-09,project-local-pi-cli,metadata.json:model + pi-session usage
restore-adaptive-assignment-loop,agents/agent-66,gpt-5.6-sol,2026-09-04T01:06:45,,2026-09,restore-adaptive-assignment-loop,metadata.json:model + pi-session usage
adaptive-agency-loop-e2e,agents/agent-67,gpt-5.6-sol,2026-09-04T02:21:42,,2026-09,adaptive-agency-loop-e2e,metadata.json:model + pi-session usage
harden-retired-evaluation-cutover,agents/agent-68,gpt-5.6-sol,2026-09-04T16:28:24,,2026-09,harden-retired-evaluation-cutover,metadata.json:model + pi-session usage
restore-reliable-main-baseline,agents/agent-99,gpt-5.6-sol,2026-09-14T17:25:08,,2026-09,restore-reliable-main-baseline,metadata.json:model + pi-session usage
chat/01a0a749-88ae-7c91-8912-3d6e676272b6,chat/01a0a749-88ae-7c91-8912-3d6e676272b6/pi-sessions/2026-09-15,glm,2026-09-15T22:56:49,,2026-09,chat,chat:pi-sessions:usage
chat/019fec45-6001-7e62-b1e8-6b346fd51235,chat/019fec45-6001-7e62-b1e8-6b346fd51235/pi-sessions/2026-08-10,gpt-5.6-sol,2026-08-10T15:23:19,,2026-08,chat,chat:pi-sessions:usage
chat/01a06933-ef40-7040-a71f-6aae43393560,chat/01a06933-ef40-7040-a71f-6aae43393560/pi-sessions/2026-09-03,gpt-6-astra,2026-09-03T21:36:46,,2026-09,chat,chat:pi-sessions:usage
chat/019fe0bd-6661-7961-99da-af2c8af2f9c9,chat/019fe0bd-6661-7961-99da-af2c8af2f9c9/pi-sessions/2026-08-08,gpt-5.6-sol,2026-08-08T09:39:02,,2026-08,chat,chat:pi-sessions:usage
route-verification-probe,attempts/3bfb759cceb7/pi,glm,2026-09-16T02:00:00,,2026-09,route-verification-probe,attempts:pi/state.json:route.model
review-causal-evidence-boundary,attempts/e2f51dccc076/pi,gpt-5.6-sol,2026-09-06T20:00:00,,2026-09,review-causal-evidence-boundary,attempts:pi/state.json:route.model
simplify-validation-evidence-boundary,attempts/0e4b9a3108d9/pi,gpt-5.6-sol,2026-09-14T18:00:00,,2026-09,simplify-validation-evidence-boundary,attempts:pi/state.json:route.model
close-recovery-followups,attempts/2a2d073ff6f4/pi,gpt-5.6-sol,2026-08-09T16:00:00,,2026-08,close-recovery-followups,attempts:pi/state.json:route.model
completion-resilience-e2e,attempts/ac3c686b9e7f/pi,gpt-5.6-sol,2026-08-17T13:00:00,,2026-08,completion-resilience-e2e,attempts:pi/state.json:route.model
worker-owned-landing-turns,attempts/a65ac45c9018/pi,gpt-5.6-sol,2026-09-04T21:00:00,,2026-09,worker-owned-landing-turns,attempts:pi/state.json:route.model
